NAICS Code,Success,County
51,-47827.5904930387,Caroline
32,85312.126551217,Wicomico
52,50228.8665353503,Wicomico
31,32737.9606695177,Wicomico
23,22583.1591035503,Wicomico
11,15908.6230698611,Wicomico
81,13250.5838202924,Wicomico
51,12048.0073226657,Wicomico
71,4788.61839105855,Wicomico
44,-8792.51795888178,Wicomico
42,-19476.4601110903,Wicomico
54,-34025.794800608,Wicomico
72,-35890.2067609457,Wicomico
53,-38928.042579524,Wicomico
33,-40120.9722992663,Wicomico
62,-42113.2212082058,Wicomico
45,-43694.0558232012,Wicomico
56,-43830.8232139767,Wicomico
48,-45409.4305160116,Wicomico
61,-45750.8482482621,Wicomico
49,-47827.5904930387,Wicomico
22,-47827.5904930387,Wicomico
92,-47827.5904930387,Wicomico
52,160439.604779425,Saint Marys
61,133798.946223537,Saint Marys
23,103621.290912269,Saint Marys
49,70410.0114772628,Saint Marys
62,19008.1934324633,Saint Marys
45,-9864.43358976714,Saint Marys
11,-12850.9759855488,Saint Marys
31,-13362.3608943907,Saint Marys
42,-17058.411510374,Saint Marys
48,-18795.1728556373,Saint Marys
81,-22195.8856275917,Saint Marys
44,-25636.5604162195,Saint Marys
72,-28530.3836641542,Saint Marys
32,-28926.8972142664,Saint Marys
56,-30027.2675937284,Saint Marys
54,-32188.2280094953,Saint Marys
53,-34817.9033565877,Saint Marys
51,-38953.9996589793,Saint Marys
71,-45518.3001462064,Saint Marys
92,-47180.9857600357,Saint Marys
33,-47210.110780436,Saint Marys
21,-47827.5904930388,Saint Marys
22,-47827.5904930388,Saint Marys
42,112135.211783626,Somerset
48,101741.257014533,Somerset
53,58474.2268197598,Somerset
31,52218.4696006562,Somerset
44,12067.7449444883,Somerset
23,5754.74262229904,Somerset
45,1055.72694297516,Somerset
81,-34726.2390789742,Somerset
51,-43947.9621177615,Somerset
62,-43947.9621253418,Somerset
54,-45284.494088538,Somerset
11,-45499.8134724206,Somerset
32,-47827.5904930388,Somerset
61,-47827.5904930388,Somerset
33,-47827.5904930388,Somerset
71,-47827.5904930388,Somerset
56,-47827.5904930388,Somerset
72,-47827.5904930388,Somerset
